Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
67-of-13898,300311012,30975564.9,197,103240,293,97
68-of-13898,169000088,12568983.26,205,110543,317,112
69-of-13898,165726018,12281081.52,205,110635,318,113
70-of-13898,200113653,16429169.97,199,104122,313,114
71-of-13898,264991115,27179771.45,197,103388,297,100
72-of-13898,303336202,27231391.97,199,104421,298,99
73-of-13898,175976115,13581414.63,206,107237,320,114
74-of-13898,281897733,28098870.57,194,102869,293,99
75-of-13898,146185263,14699588.63,210,109678,323,113
76-of-13898,372137755,36213411.63,185,96021,277,92
77-of-13898,164197186,14389118.23,200,107087,319,119
78-of-13898,140671832,12922820.43,202,107231,323,121
79-of-13898,348356260,33719286.28,186,95445,283,97
80-of-13898,289908584,25045787.95,197,106087,298,101
81-of-13898,145835405,14699588.63,210,109759,323,113
82-of-13898,165151082,15471081.12,204,107334,318,114
83-of-13898,88573990,6157430.74,206,110794,341,134
84-of-13898,277382738,21705548.71,205,109013,306,101
85-of-13898,311363735,28163475.03,198,104013,295,97
86-of-13898,289277568,24924282.84,197,106096,298,101
87-of-13898,289262423,24924282.84,197,106104,298,101
88-of-13898,401679162,39253583.21,184,95504,272,88
89-of-13898,121876501,8519493.88,203,107335,334,131
90-of-13898,275284381,26193358.25,203,110248,301,98
91-of-13898,265653890,22617646.89,203,110341,302,99
92-of-13898,351804434,28491875.32,204,106190,297,93
93-of-13898,339206655,27036736.16,205,106513,300,95
94-of-13898,259687275,23106102.67,202,109366,302,101
95-of-13898,259545405,23106102.67,202,109395,302,101
96-of-13898,211012895,17619550.73,200,106325,309,109
97-of-13898,318271367,32179850.18,189,97132,291,102
98-of-13898,247739721,21910347.92,198,106957,302,104
99-of-13898,307092333,29433046.86,198,103283,296,97
100-of-13898,166736130,14180616.38,201,106816,320,119
101-of-13898,164310987,14155857.03,201,106835,320,119
102-of-13898,202145352,15359896.86,199,106169,312,113
103-of-13898,159650773,13984025.8,202,107121,321,119
104-of-13898,166537217,15869669.43,200,104924,321,121
105-of-13898,115387377,8115342.34,204,107474,338,134
106-of-13898,412496743,40963876.99,184,94547,271,88
107-of-13898,301305279,29450458.06,189,98136,291,102
108-of-13898,332330203,32260509.21,188,95856,287,100
109-of-13898,313593491,28964798.54,188,95950,291,104
110-of-13898,141120737,12345712.63,200,107568,324,123
111-of-13898,123516331,8820579.86,205,107452,332,126
112-of-13898,304864374,29905405.94,191,97341,295,105
113-of-13898,231861845,22298505.52,196,100910,309,114
114-of-13898,86157821,5910095.96,207,111180,341,134
115-of-13898,286645539,24717954.21,199,104698,298,99
116-of-13898,251377410,21689594.81,202,109679,303,101
117-of-13898,160010880,12236347.64,201,106938,323,122
118-of-13898,294276140,27273322.84,195,103757,293,98
119-of-13898,218605108,16090245.97,205,109890,311,106
120-of-13898,338304878,27511416.38,199,106847,293,95
121-of-13898,155340181,10958847.86,204,111239,321,117
122-of-13898,232850627,24663288.5,198,103265,302,104
123-of-13898,210821126,19766600.92,199,103116,313,114
124-of-13898,299421097,26937303.1,198,100914,300,102
125-of-13898,170392263,13705729.26,203,105671,322,119
126-of-13898,170338349,13705187.18,203,105674,322,119
127-of-13898,362354881,31129064.88,192,99788,284,92
128-of-13898,316275254,27460532.75,200,105447,296,96
129-of-13898,113338736,10586122.47,202,106269,337,135
130-of-13898,315996672,27460532.75,200,105465,296,96
131-of-13898,185215626,16902832.32,199,103324,320,121
132-of-13898,185167541,16898946.12,199,103324,320,121
133-of-13898,185166876,16898852.98,199,103325,320,121
134-of-13898,241803190,24107867.43,198,105295,302,104
135-of-13898,320662514,29072808.89,194,103160,291,97
136-of-13898,122948929,9454630.46,206,106551,333,128
137-of-13898,312805912,33809348.24,196,102727,291,95
138-of-13898,317002087,27139313.37,198,106236,294,96
139-of-13898,166782353,12688673.9,201,107416,322,120
140-of-13898,165079135,12557110.77,201,107464,322,121
141-of-13898,163320596,12361933.03,201,107471,322,121
142-of-13898,267058676,25499117.05,203,110121,301,98
143-of-13898,284609643,25694034.8,198,106650,295,98
144-of-13898,291071631,28674169.25,196,102269,296,100
145-of-13898,140014009,12835687.79,202,105987,326,124
146-of-13898,136484360,11659363.16,202,107915,324,122
147-of-13898,159896581,13912498.91,207,108462,322,115
148-of-13898,107821107,7454901.46,208,109677,337,129
149-of-13898,360706647,31818999.07,197,103202,289,92
150-of-13898,341976856,29885213.26,198,103722,291,93
151-of-13898,341589511,28872869.02,199,104031,292,93
152-of-13898,209008952,19861640.52,196,103944,312,116
153-of-13898,300883627,31662074.13,196,103077,294,98
154-of-13898,295348854,24954337.44,199,107244,297,98
155-of-13898,88631737,6157523.88,206,110787,341,134
156-of-13898,169922879,13406699.63,204,105735,323,120
157-of-13898,383735904,37932275.7,185,96221,277,91
158-of-13898,338986827,30975005.47,187,95641,284,97
159-of-13898,163080986,15399072.74,201,104982,322,122
160-of-13898,299609836,30183905.92,191,97928,293,102
161-of-13898,227893423,22956542.26,198,102273,314,115
162-of-13898,193514501,17050012.95,202,109294,310,108
163-of-13898,363989559,33141948.43,191,98984,281,91
164-of-13898,225309736,20287698.81,199,105151,305,106
165-of-13898,254356526,27262583.68,201,105901,302,101
166-of-13898,376174768,38464312.71,187,95305,283,96
167-of-13898,153787084,17801392.49,202,105669,321,119
168-of-13898,140799542,15513951.72,201,106894,323,122
169-of-13898,135186931,14915748.52,201,106953,324,122
170-of-13898,134073281,14797151.11,202,106956,324,123
171-of-13898,318702896,27755462.98,200,105405,296,95
172-of-13898,237535958,21254511.91,201,106902,304,103
173-of-13898,152166359,13911393.31,200,106463,321,121
174-of-13898,150021730,13837569.5,200,106494,321,122
175-of-13898,184967143,15004914.92,206,109837,315,109
176-of-13898,371742359,37767690.98,191,100947,282,91
177-of-13898,278008372,25001539.33,200,104196,300,100
178-of-13898,140200539,9584509.57,204,108765,328,124
179-of-13898,168804215,15707059.27,202,105195,318,116
180-of-13898,155314407,14283787.66,202,105769,320,118
181-of-13898,281072706,27567871.33,195,101586,296,101
182-of-13898,268011599,26171205.79,195,101758,297,102
183-of-13898,238731232,23888260.31,203,107120,305,102
184-of-13898,229746382,21550226.83,199,104629,304,105
185-of-13898,241872374,22613442.97,198,107051,300,102
186-of-13898,165967811,12665559.39,205,110634,317,112
187-of-13898,270252761,22303372.08,206,109334,305,100
188-of-13898,270246712,22303157.74,206,109335,305,100
189-of-13898,162788533,13770106.58,201,106693,321,119
190-of-13898,342818107,32200220.12,202,105986,294,92
191-of-13898,313826587,30319172.58,203,106469,296,94
192-of-13898,258855536,22964128.16,202,109378,302,101
193-of-13898,277025522,25421727.61,200,102245,301,101
194-of-13898,226642169,19583922.85,199,104142,306,108
195-of-13898,223495913,19514634.19,199,104193,307,109
196-of-13898,248211445,25194824.7,197,103687,300,103
197-of-13898,236111523,24594965.55,198,104129,302,104
198-of-13898,277829304,27035734,203,110084,301,97
199-of-13898,263910959,26595939.12,203,110226,301,98
200-of-13898,157492340,15583630.07,200,106694,320,120
201-of-13898,245069054,21782426.26,204,109568,304,100
202-of-13898,91692822,7035835.36,205,107848,352,146
203-of-13898,213063229,15936867.35,199,106010,312,113
204-of-13898,207022304,15697140.93,199,106072,312,113
205-of-13898,200442723,15111536.36,200,106327,316,115
206-of-13898,188162534,14369817.61,200,106513,316,116
207-of-13898,239969937,21539580.01,204,109688,305,101
208-of-13898,154525136,13533513.08,205,107962,321,115
209-of-13898,289733872,26403839.7,196,102304,296,100
210-of-13898,126676624,9152813.01,204,108764,329,125
211-of-13898,173448417,13247630.63,204,105907,322,119
212-of-13898,173239988,13217468.02,204,105910,322,119
213-of-13898,155243917,15553101.65,201,107944,319,118
214-of-13898,289967226,25501476.13,194,98990,299,104
215-of-13898,275256134,26193358.25,203,110249,301,98
216-of-13898,231718115,19991934.07,202,110049,305,102
217-of-13898,118427450,9165407.12,205,106604,337,133
218-of-13898,151246153,13768556.89,202,107703,321,120
219-of-13898,191435163,17684985.58,198,106040,313,114
220-of-13898,191423420,17681392.05,198,106040,313,114
221-of-13898,190425269,17479023.13,198,106048,313,114
222-of-13898,140289219,11315120.22,206,107759,325,120
223-of-13898,150271278,11225800.15,201,107591,325,124
224-of-13898,158461041,12258433.18,202,104929,331,129
225-of-13898,120998632,13494076.73,201,107148,327,125
226-of-13898,120262547,13333266.07,201,107283,327,125
227-of-13898,109253449,10377729.62,201,107351,328,126
228-of-13898,105595838,10099906.53,201,107365,328,126
229-of-13898,155942315,11590450.93,201,107093,325,123
230-of-13898,146878261,12628756.25,205,110832,319,114
231-of-13898,171518319,15181069.23,200,104131,323,123
232-of-13898,171490071,15181069.23,200,104132,323,123
233-of-13898,169660028,14985157.5,200,104142,323,123
234-of-13898,284053497,25580068.42,198,106770,296,98
235-of-13898,168369221,14821143.23,200,104159,323,123
236-of-13898,167981876,13808798.99,200,104497,324,124
237-of-13898,104931818,10381484.84,202,106421,338,136
238-of-13898,101681113,10311504.01,203,106923,340,137
239-of-13898,101457692,10311504.01,203,106938,340,137
240-of-13898,276274212,26715344.22,192,100173,295,102
241-of-13898,269071761,26394630.57,193,100569,298,105
242-of-13898,112924838,7851915.66,207,108851,334,128
243-of-13898,143600163,9961923.56,202,106730,329,127
244-of-13898,141455535,9888099.75,202,106761,330,127
245-of-13898,155314960,14863343.29,200,104363,325,125
246-of-13898,176372048,13616746.65,206,107233,319,114
247-of-13898,125796038,12819861.68,204,109428,324,120
248-of-13898,271359870,23638480.33,201,104829,302,101
249-of-13898,269782415,23471742.53,201,105397,303,101
250-of-13898,269343176,23471742.53,202,105494,303,101
251-of-13898,158490832,14262785.25,199,103981,324,124
252-of-13898,117047047,12605156.8,205,108510,328,122
253-of-13898,264881879,28077853.64,197,103589,297,101
254-of-13898,263242081,27922250.69,197,103593,298,101
255-of-13898,306626709,28668924.42,191,99698,290,99
256-of-13898,119720665,10147877.45,204,108127,330,126
257-of-13898,262522004,22702641.42,207,108994,307,100
258-of-13898,157543668,14408672.37,202,105541,320,118
259-of-13898,179265260,13205627.18,202,106680,322,121
260-of-13898,156374763,13686389.62,200,104269,325,126
261-of-13898,145975538,14668311.37,210,109681,323,113
262-of-13898,143273985,14387946.89,211,110117,324,114
263-of-13898,229950633,22645250.31,198,105483,303,106
264-of-13898,227066496,22335470.07,198,105698,304,106
265-of-13898,174072385,14040775.09,204,105925,322,118
266-of-13898,213757243,19727550.4,200,105578,308,108
267-of-13898,262676730,28654181.88,201,107379,299,99
268-of-13898,291832179,25149655.73,199,107079,296,98
269-of-13898,283423042,24077891.76,199,107103,297,98
270-of-13898,206028703,18294876.76,201,106185,308,107
271-of-13898,330653300,31377186.84,193,97875,293,100
272-of-13898,321721489,30565528.63,194,98102,295,102
273-of-13898,92282066,7005759.18,205,108143,344,139
274-of-13898,62613353,4889668.38,207,109156,356,149
275-of-13898,291313924,25498827.79,199,106731,298,99
276-of-13898,200921923,18881598.41,196,103976,312,116
277-of-13898,247066381,21879632.24,207,108496,308,101
278-of-13898,102752007,7742944.83,204,109750,334,130
279-of-13898,317013936,30315799.63,189,98775,285,95
280-of-13898,213673476,20334209.22,200,106304,307,108
281-of-13898,296880516,27837804.65,202,108433,298,96
282-of-13898,229129509,21590963.32,203,110734,305,102
283-of-13898,179436072,15151153.49,200,105078,318,118
284-of-13898,290855733,28672200.46,196,102304,296,100
285-of-13898,257159015,25099433.8,198,103942,300,102
286-of-13898,247707251,26450173.12,199,105155,300,101
287-of-13898,258911920,22331225.17,202,105773,303,102
288-of-13898,124651130,12677781.56,200,105864,332,131
289-of-13898,197376980,18175069.56,197,104898,314,116
290-of-13898,237115853,20835905.54,202,110105,304,102
291-of-13898,111816250,10567383.77,204,109142,329,125
292-of-13898,111663931,10546916.77,204,109142,330,126
293-of-13898,273070477,23721152.31,198,106802,300,102
294-of-13898,85559763,5679419.95,208,111153,342,135
295-of-13898,85387259,5639330.17,208,111182,342,135
296-of-13898,171295392,15159214.45,200,104200,323,123
297-of-13898,143870463,12874821.66,201,105028,327,126
298-of-13898,159696191,13655330.6,200,107362,320,120
299-of-13898,289964594,27241454.98,199,104038,298,99
300-of-13898,108987365,8981699.21,203,107990,333,130
301-of-13898,163538032,15802876.63,201,105111,321,120
302-of-13898,208534291,16685933.12,198,104650,310,112
303-of-13898,264865247,22263218.98,206,108993,306,100
304-of-13898,263715341,22178253.75,206,108998,306,100
305-of-13898,90268357,6422371.4,206,108752,344,138
306-of-13898,87057925,6225345.93,206,108835,344,138
307-of-13898,140346002,11315120.22,206,107757,325,120
308-of-13898,208193284,19450467.81,197,104895,311,114
309-of-13898,166281432,15832973.68,200,105749,320,120
310-of-13898,183688297,15104893.58,205,109786,314,109
311-of-13898,178112620,13848578.96,206,110032,316,111
312-of-13898,255767557,22120736.99,203,110197,302,99
313-of-13898,278818396,25869824.84,192,100185,295,103
314-of-13898,250709187,23086052.99,192,100460,297,105
315-of-13898,233667032,22080480.95,192,100613,298,106
316-of-13898,222438663,19103229.62,196,102797,305,110
317-of-13898,258391967,26748805.7,198,103566,299,102
318-of-13898,170678081,17777968.34,202,107040,315,113
319-of-13898,169779085,12913719.08,200,106086,324,124
320-of-13898,169735051,15125205.99,204,108287,315,111
321-of-13898,168624912,15109133.09,205,108559,316,111
322-of-13898,129120394,11964072.15,205,110350,324,119
323-of-13898,155049469,15553101.65,201,107958,319,118
324-of-13898,262456130,27906683.23,197,103599,298,102
325-of-13898,156810051,14006866.68,201,108034,320,118
326-of-13898,136751992,11044523.99,202,108821,324,122
327-of-13898,136716634,11037050.75,202,108821,324,122
328-of-13898,212312276,20304758.17,200,106312,307,108
329-of-13898,123069972,9181798.6,207,107342,334,126
330-of-13898,153527981,14153271.3,204,106178,320,117
331-of-13898,151225342,14010325.17,204,106184,321,117
332-of-13898,134370122,12197902.12,204,106593,324,120
333-of-13898,303312436,29562293.16,197,101276,297,100
334-of-13898,310023857,31914719.21,195,104592,291,96
335-of-13898,308265060,27468507.92,195,103361,294,100
336-of-13898,259661948,25608362.2,201,109218,300,99
337-of-13898,250716009,24332310.92,201,109573,302,100
338-of-13898,164348978,14316247.41,199,107071,319,119
339-of-13898,271057534,22448958.38,201,105591,303,101
340-of-13898,259699389,23117115.13,202,109366,302,101
341-of-13898,75575110,5592911.75,207,110270,346,139
342-of-13898,66600508,5113618.42,208,109610,353,145
343-of-13898,237060576,20713991.05,198,105034,303,105
344-of-13898,142145112,12301578.27,200,105889,327,127
345-of-13898,243421308,25928583.16,199,105216,301,101
346-of-13898,165528449,16249094.97,200,106887,318,118
347-of-13898,209634216,18886761.6,200,104510,310,111
348-of-13898,209519112,18886761.6,200,104522,310,111
349-of-13898,155228536,14406756.03,203,106168,320,117
350-of-13898,166806156,13906464.25,201,107682,320,119
351-of-13898,145650844,13734343.72,201,106955,321,121
352-of-13898,117225917,13216253.64,201,107175,327,126
353-of-13898,300687575,30397391.56,194,102701,292,98
354-of-13898,319449017,27353737.92,197,105884,293,96
355-of-13898,77778178,7236799.6,205,109427,344,139
356-of-13898,255451047,22088199.14,203,110201,302,99
357-of-13898,202111078,15251898.64,198,104564,314,116
358-of-13898,199439523,14981278.93,198,104787,315,117
359-of-13898,198971890,14872244.18,198,104792,316,117
360-of-13898,196394845,14522462.04,198,104906,317,119
361-of-13898,239181905,20872205.94,202,110039,304,102
362-of-13898,238903857,20872205.94,203,110117,304,102
363-of-13898,61802885,4817313.38,207,109328,356,149
364-of-13898,92123698,6985077.84,205,108145,344,139
365-of-13898,103132824,8513842.63,205,106759,344,139
366-of-13898,265320888,26206050.91,196,103378,297,101
367-of-13898,262138964,23886670.11,201,106292,302,101
368-of-13898,275752643,24791597.46,196,99014,309,114
369-of-13898,259918860,23625549.13,197,99091,315,119
370-of-13898,236387736,20730215.64,202,110103,304,102
371-of-13898,234361656,20391804.87,202,110104,304,102
372-of-13898,231598838,20166116.8,202,110143,305,102
373-of-13898,185026596,18690435.51,201,107781,310,108
374-of-13898,183901761,18533002.26,202,107827,311,109
375-of-13898,183341907,18528179.08,202,108081,311,109
376-of-13898,88207222,5904800.85,208,111207,342,134
377-of-13898,133230801,15001246.83,202,107168,325,123
378-of-13898,200490231,17838094.15,199,103402,318,119
379-of-13898,125440916,8427012.57,207,107338,337,130
380-of-13898,125434867,8426798.23,207,107338,337,130
381-of-13898,213515883,17685584.43,196,103084,308,111
382-of-13898,304931675,31399719.61,196,102852,294,97
383-of-13898,292815298,29745079.56,196,102937,294,98
384-of-13898,291326022,29671883.25,196,102947,294,98
385-of-13898,325979873,32195903.55,196,102428,291,95
386-of-13898,253039043,24894680.16,198,105168,300,102
387-of-13898,187340323,14293869.08,201,106683,316,116
388-of-13898,275040662,26162057.51,203,110255,301,98
389-of-13898,262778897,20376547.18,202,106587,305,103
390-of-13898,261294341,20268443.44,202,106595,305,103
391-of-13898,395147870,36693361.94,194,100875,284,90
392-of-13898,381586354,35601027.25,197,102841,286,89
393-of-13898,341074037,30315264.67,197,103224,289,92
394-of-13898,336897481,28908377.22,199,104450,293,94
395-of-13898,290380050,26320844.81,203,107024,298,95
396-of-13898,126619485,9576294.67,210,110068,330,120
397-of-13898,126589037,9576215.97,210,110068,330,120
398-of-13898,357897862,35004110.14,188,100173,284,96
399-of-13898,274982366,24067362.21,203,110424,301,98
400-of-13898,297489936,26862870.52,199,103970,298,99
401-of-13898,289404298,31295792.23,197,103353,295,98
402-of-13898,160270101,12967802.4,204,106613,322,118
403-of-13898,305894914,28821885.71,193,101243,291,98
404-of-13898,301776400,28463990.85,195,102741,294,98
405-of-13898,238186686,23774619.08,202,108622,303,101
406-of-13898,81668273,5568800.36,208,111174,345,138
407-of-13898,294841474,28086686.22,196,102825,294,99
408-of-13898,292271818,27727183.33,196,102878,296,100
409-of-13898,264926626,22745509.83,199,107263,300,101
410-of-13898,174922284,12668310.03,201,106282,323,122
411-of-13898,134645713,9086912.19,206,106262,336,130
412-of-13898,118007067,14120757.51,205,108070,328,124
413-of-13898,104132348,11083819.08,205,108291,330,124
414-of-13898,168762882,12446031.24,202,106766,323,121
415-of-13898,159820429,12161408.31,203,106909,324,122
416-of-13898,196415153,15952543.09,200,104415,317,117
417-of-13898,215649085,20967606.16,203,110993,306,103
418-of-13898,160190439,12419392.5,208,109876,322,114
419-of-13898,177740877,14845408.43,200,105192,319,119
420-of-13898,63973169,5139141.06,209,110528,352,143
421-of-13898,107280817,7682461.56,204,107665,341,137
422-of-13898,102794958,7498835.62,204,107716,341,137
423-of-13898,153392468,14650903.21,201,104518,326,126
424-of-13898,184348695,17909101.27,200,106609,310,110
425-of-13898,184114337,17900150.87,200,106614,310,110
426-of-13898,167522515,16660914.77,201,107602,315,113
427-of-13898,248428421,26264980.31,202,106753,304,101
428-of-13898,321179190,31602159.42,189,98174,284,96
429-of-13898,318388867,31093720.04,189,98254,286,97
430-of-13898,302987266,29383929.67,189,98522,290,101
431-of-13898,166352536,14347544.29,200,106836,317,118
432-of-13898,82181242,5628198.82,207,111167,344,137
433-of-13898,82124160,5628198.82,207,111173,344,137
434-of-13898,150660591,11876985.36,203,106687,324,121
435-of-13898,275489416,26210796.87,203,110246,301,98
436-of-13898,236341272,21291264.01,204,109693,305,102
437-of-13898,163483460,15569094.15,200,106483,320,119
438-of-13898,218984965,18798752.45,204,110985,307,103
439-of-13898,218283153,18680476.12,204,111000,307,103
440-of-13898,113897900,8743039.75,204,107350,334,130
441-of-13898,292672419,25294406.51,199,107073,296,98
442-of-13898,340845154,30885933.24,195,104868,288,93
443-of-13898,278808160,26293428.51,198,107475,295,97
444-of-13898,288977427,23031168.61,201,108850,300,99
445-of-13898,277118045,21625910.69,201,109332,301,100
446-of-13898,275867116,21555687.64,202,109430,301,100
447-of-13898,107496081,8762392.16,204,107873,335,132
448-of-13898,84760488,6056578.81,206,109462,344,137
449-of-13898,54558260,4125714.95,209,110880,362,153
450-of-13898,54177028,4122177.14,209,110951,362,153
451-of-13898,277783537,24991284.88,200,104407,300,100
452-of-13898,77492334,7498800.68,209,108848,345,136
453-of-13898,70671651,6454054.22,209,108997,348,139
454-of-13898,222419339,22679600.68,199,104671,305,106
455-of-13898,221710883,22630102.05,199,104673,307,107
456-of-13898,109653018,9156481.75,205,107065,339,134
457-of-13898,275717983,21582855.31,208,109480,308,100
458-of-13898,275430980,21582855.31,208,109558,308,100
459-of-13898,264692375,28747340.73,201,107353,299,99
460-of-13898,236914098,23643339.26,203,107234,305,102
461-of-13898,161147039,14025363.29,201,106693,321,120
462-of-13898,269293433,27677843.73,194,101896,295,101
463-of-13898,246048966,24664545.26,202,106867,304,102
464-of-13898,236374999,20939041.97,202,110080,304,102
465-of-13898,168870019,13812704.58,200,105170,325,126
466-of-13898,238540027,22426151.32,197,104844,303,106
467-of-13898,226880523,20430348.25,198,105064,305,108
468-of-13898,225727486,20343033.84,198,105075,305,108
469-of-13898,221074452,19674959.14,198,105195,306,108
470-of-13898,332431783,28849500.09,199,104861,293,94
471-of-13898,238393226,25692537.02,203,109133,303,100
472-of-13898,181684638,16199973.49,202,109108,312,110
473-of-13898,160973486,15151521.6,203,105904,320,117
474-of-13898,67929248,5153546.78,207,109034,356,149
475-of-13898,198125617,16018134.57,203,107089,311,108
476-of-13898,183221180,14236048.6,203,107288,313,110
477-of-13898,261097365,25480550.86,200,108411,300,99
478-of-13898,240212412,23115109.12,201,109007,302,101
479-of-13898,239061661,23027818.19,201,109040,302,101
480-of-13898,238920551,23027818.19,201,109050,302,101
481-of-13898,200690223,16108279.11,203,109585,311,108
482-of-13898,199235412,15886533.6,203,109670,311,109
483-of-13898,198499327,15725722.94,203,109805,311,109
484-of-13898,192049763,15209053.11,203,109841,312,109
485-of-13898,65118232,6229604.39,206,109848,354,147
486-of-13898,212729203,18875166.05,204,111089,307,103
487-of-13898,145251695,13493087.81,199,106202,325,126
488-of-13898,146584173,13452826.12,205,110889,318,113
489-of-13898,144825634,13257648.38,205,110896,318,113
490-of-13898,77108469,7090261.32,209,109116,345,136
491-of-13898,229065795,23044698.48,196,101462,315,119
492-of-13898,75495773,7328386.65,209,109147,345,136
493-of-13898,75229284,7306531.87,209,109218,345,136
494-of-13898,70174973,6457104.87,209,109314,346,136
495-of-13898,259673152,24813147.21,201,106749,301,101
496-of-13898,115401995,9797688.32,204,106513,334,130
497-of-13898,177518650,14391117.2,201,107750,316,116
498-of-13898,248301603,25026426.1,202,106824,303,101
499-of-13898,141866085,10556783.37,203,109430,323,120
500-of-13898,112585094,7869297.99,205,110074,332,126
501-of-13898,315355226,29884778.88,190,97739,294,103
502-of-13898,169748677,12423858.71,207,109082,321,114
503-of-13898,170507671,14994326.2,200,104342,323,123
504-of-13898,161486659,13962014.58,200,104450,324,124
505-of-13898,296892582,29174386.31,191,98993,294,104
506-of-13898,62525638,4879227.03,208,109288,357,150
507-of-13898,61571037,4687870.57,208,109306,358,151
508-of-13898,109440224,7198972.79,204,107569,339,134
509-of-13898,176687002,14929634.85,200,104256,321,121
510-of-13898,205146754,18038095.4,201,104618,311,110
511-of-13898,303681224,25459244.49,199,106460,298,99
512-of-13898,214276272,20374221.38,200,106285,308,108
513-of-13898,69531848,6447903.62,209,109354,346,137
514-of-13898,141142497,12340378.23,200,107312,325,125
515-of-13898,256101570,22488550.41,203,110169,302,99
516-of-13898,254976735,22331117.16,203,110207,303,100
517-of-13898,195599858,22598531.66,199,107215,308,109
518-of-13898,172498828,14147872.58,205,110045,314,109
519-of-13898,159512016,12261459.86,201,107490,322,121
520-of-13898,118322083,10474697.05,208,110308,325,118
521-of-13898,118039183,10459467.82,208,110319,326,118
522-of-13898,74563239,6889846.34,209,109036,347,137
523-of-13898,57013019,4245246.58,211,110349,353,142
524-of-13898,54613877,4216762.45,212,110446,358,146
525-of-13898,182494813,18152435.9,197,105061,313,116
526-of-13898,181947757,18152435.9,198,105158,313,116
527-of-13898,144960026,14196630.34,200,106517,322,122
528-of-13898,258895052,24811178.42,201,106886,302,101
529-of-13898,156424576,12155268.65,205,110652,318,113
530-of-13898,152597288,14003409.28,205,108938,319,114
531-of-13898,269622573,26510073.67,203,110215,301,98
532-of-13898,204269774,20484764.92,199,105044,305,106
